# x   u_num   u_exact
    0.2500000000E-01    0.3304475356E-07    0.0000000000E+00
    0.7500000000E-01    0.4030379778E-07    0.0000000000E+00
    0.1250000000E+00    0.5231855087E-07    0.0000000000E+00
    0.1750000000E+00    0.7032183437E-07    0.0000000000E+00
    0.2250000000E+00    0.9614947847E-07    0.0000000000E+00
    0.2750000000E+00    0.1323998761E-06    0.0000000000E+00
    0.3250000000E+00    0.1826566127E-06    0.0000000000E+00
    0.3750000000E+00    0.2517895888E-06    0.0000000000E+00
    0.4250000000E+00    0.3463550235E-06    0.0000000000E+00
    0.4750000000E+00    0.4751206829E-06    0.0000000000E+00
    0.5250000000E+00    0.6497498795E-06    0.0000000000E+00
    0.5750000000E+00    0.8856864801E-06    0.0000000000E+00
    0.6250000000E+00    0.1203293667E-05    0.0000000000E+00
    0.6750000000E+00    0.1629311815E-05    0.0000000000E+00
    0.7250000000E+00    0.2198715963E-05    0.0000000000E+00
    0.7750000000E+00    0.2957071311E-05    0.0000000000E+00
    0.8250000000E+00    0.3963506392E-05    0.0000000000E+00
    0.8750000000E+00    0.5294448467E-05    0.0000000000E+00
    0.9250000000E+00    0.7048294573E-05    0.0000000000E+00
    0.9750000000E+00    0.9351225060E-05    0.0000000000E+00
    0.1025000000E+01    0.1236440451E-04    0.0000000000E+00
    0.1075000000E+01    0.1629285808E-04    0.0000000000E+00
    0.1125000000E+01    0.2139635934E-04    0.0000000000E+00
    0.1175000000E+01    0.2800271922E-04    0.0000000000E+00
    0.1225000000E+01    0.3652392331E-04    0.0000000000E+00
    0.1275000000E+01    0.4747562738E-04    0.0000000000E+00
    0.1325000000E+01    0.6150058634E-04    0.0000000000E+00
    0.1375000000E+01    0.7939665976E-04    0.0000000000E+00
    0.1425000000E+01    0.1021501047E-03    0.0000000000E+00
    0.1475000000E+01    0.1309749326E-03    0.0000000000E+00
    0.1525000000E+01    0.1673591678E-03    0.0000000000E+00
    0.1575000000E+01    0.2131188967E-03    0.0000000000E+00
    0.1625000000E+01    0.2704610362E-03    0.0000000000E+00
    0.1675000000E+01    0.3420557693E-03    0.0000000000E+00
    0.1725000000E+01    0.4311195940E-03    0.0000000000E+00
    0.1775000000E+01    0.5415098941E-03    0.0000000000E+00
    0.1825000000E+01    0.6778318708E-03    0.0000000000E+00
    0.1875000000E+01    0.8455585546E-03    0.0000000000E+00
    0.1925000000E+01    0.1051164443E-02    0.0000000000E+00
    0.1975000000E+01    0.1302273082E-02    0.0000000000E+00
    0.2025000000E+01    0.1607818593E-02    0.0000000000E+00
    0.2075000000E+01    0.1978220795E-02    0.0000000000E+00
    0.2125000000E+01    0.2425573072E-02    0.0000000000E+00
    0.2175000000E+01    0.2963841630E-02    0.0000000000E+00
    0.2225000000E+01    0.3609074135E-02    0.0000000000E+00
    0.2275000000E+01    0.4379615002E-02    0.0000000000E+00
    0.2325000000E+01    0.5296323836E-02    0.0000000000E+00
    0.2375000000E+01    0.6382792620E-02    0.0000000000E+00
    0.2425000000E+01    0.7665556369E-02    0.0000000000E+00
    0.2475000000E+01    0.9174290986E-02    0.0000000000E+00
    0.2525000000E+01    0.1094199109E-01    0.0000000000E+00
    0.2575000000E+01    0.1300511969E-01    0.0000000000E+00
    0.2625000000E+01    0.1540372058E-01    0.0000000000E+00
    0.2675000000E+01    0.1818148375E-01    0.0000000000E+00
    0.2725000000E+01    0.2138575326E-01    0.0000000000E+00
    0.2775000000E+01    0.2506746672E-01    0.0000000000E+00
    0.2825000000E+01    0.2928101533E-01    0.0000000000E+00
    0.2875000000E+01    0.3408401356E-01    0.0000000000E+00
